"dtime_local per 10 minutes","95th percentile of rtt_max"
1688508000000,106.04125499999996
1688508600000,105.38110999999994
1688509200000,108.55619999999992
1688509800000,112.93485999999994
1688510400000,112.52452499999991
1688511000000,112.4597249999999
1688511600000,112.7440649999999
1688512200000,109.41469499999991
1688512800000,109.9653649999999
1688513400000,111.0441799999999
1688514000000,109.1805999999999
1688514600000,109.5548199999999
1688515200000,107.38805499999994
1688515800000,102.70434999999992
1688516400000,103.06294999999996
1688517000000,105.13820999999996
1688517600000,103.45799999999994
1688518200000,103.32542999999995
1688518800000,102.61953499999994
1688519400000,101.39250499999994
1688520000000,101.12524499999994
1688520600000,99.60413999999993
1688521200000,97.05095999999993
1688521800000,96.40284499999994
1688522400000,93.24175999999993
1688523000000,90.40967499999995
1688523600000,89.16873999999996
1688524200000,89.18655999999997
1688524800000,86.51983499999997
1688525400000,84.15326499999998
1688526000000,83.10851499999998
1688526600000,82.19371
1688527200000,82.63021499999999
1688527800000,83.06331
1688528400000,81.85311
1688529000000,79.297755
1688529600000,79.34742999999999
1688530200000,78.77669999999998
1688530800000,79.81924499999998
1688531400000,81.642355
1688532000000,80.57586499999998
1688532600000,80.70273499999999
1688533200000,80.13343499999998
1688533800000,79.35110999999998
1688534400000,80.77385999999998
1688535000000,83.27098999999997
1688535600000,83.02865499999999
1688536200000,82.55364499999999
1688536800000,82.31144999999998
1688537400000,82.09374999999997
1688538000000,83.99980999999997
1688538600000,86.56396999999996
1688539200000,86.28191999999996
1688539800000,86.25241499999996
1688540400000,85.94604499999996
1688541000000,85.74917499999997
1688541600000,86.94999999999996
1688542200000,89.02999499999997
1688542800000,88.35039499999996
1688543400000,88.61381499999993
1688544000000,88.5376249999999
1688544600000,86.10378499999993
1688545200000,86.99664999999993
1688545800000,88.00994499999993
1688546400000,87.61773499999994
1688547000000,86.75360499999994
1688547600000,86.64735499999993
1688548200000,84.23947999999996
1688548800000,85.49746999999994
1688549400000,88.54738999999996
1688550000000,88.23513999999994
1688550600000,88.39624999999995
1688551200000,88.90225999999996
1688551800000,87.74955999999996
1688552400000,89.87760499999995
1688553000000,91.91995499999996
1688553600000,94.02901499999997
1688554200000,94.73457499999998
1688554800000,94.07097499999998
1688555400000,90.96583999999999
1688556000000,92.57947
1688556600000,97.18154999999999
1688557200000,97.47278499999999
1688557800000,97.99272999999998
1688558400000,96.30215999999999
1688559000000,95.66034999999995
1688559600000,94.01807499999994
1688560200000,96.21117499999993
1688560800000,97.88700999999993
1688561400000,97.27463999999995
1688562000000,96.20872999999995
1688562600000,92.34225999999994
1688563200000,92.28582499999996
1688563800000,93.64271999999995
1688564400000,94.27453999999994
1688565000000,93.76738999999993
1688565600000,94.76950499999995
1688566200000,93.54988999999998
1688566800000,93.18757499999997
1688567400000,97.09071999999999
1688568000000,97.23035499999996
1688568600000,96.67368499999998
1688569200000,97.58045499999997
1688569800000,95.72950999999998
1688570400000,96.46510499999997
1688571000000,100.64788499999999
1688571600000,100.44222500000001
1688572200000,101.60468500000002
1688572800000,101.74395999999999
1688573400000,98.37153499999998
1688574000000,98.68346
1688574600000,104.53869999999998
1688575200000,106.04677999999998
1688575800000,106.85243499999997
1688576400000,106.94869499999997
1688577000000,104.71954999999996
1688577600000,104.53276999999997
1688578200000,105.51473499999996
1688578800000,106.31739999999998
1688579400000,108.40537499999996
1688580000000,108.49142499999998
1688580600000,105.31865499999998
1688581200000,103.01183499999996
1688581800000,105.80829499999997
1688582400000,106.08515999999999
1688583000000,106.08631499999998
1688583600000,105.40671499999999
1688584200000,103.58446499999998
1688584800000,104.40371999999998
1688585400000,105.59364999999998
1688586000000,108.26219499999998
1688586600000,107.17222499999998
1688587200000,107.07975499999998
1688587800000,105.97610499999995
1688588400000,105.86445999999997
1688589000000,110.04306999999994
1688589600000,113.57050999999997
1688590200000,113.76644999999995
1688590800000,113.25481499999998
1688591400000,110.69608499999993
1688592000000,109.63322999999991
1688592600000,113.52155999999994
1688593200000,118.46981999999994
1688593800000,118.81497999999993
1688594400000,121.18683999999992
1688595000000,116.67954999999994
1688595600000,114.9949749999999
1688596200000,117.98103999999992
1688596800000,121.79249499999992
1688597400000,123.25137499999995
1688598000000,123.22410999999995
1688598600000,119.41870999999996
1688599200000,116.12482999999996
1688599800000,115.80070999999997
1688600400000,113.46781999999997
1688601000000,113.73812999999996
1688601600000,113.49330499999996
1688602200000,109.73629999999997
1688602800000,105.21518999999998
1688603400000,103.16596999999997
1688604000000,102.71792499999997
1688604600000,101.91006499999996
1688605200000,99.08114499999995
1688605800000,97.04837999999997
1688606400000,96.44388999999995
1688607000000,94.36907999999997
1688607600000,94.07765999999997
1688608200000,94.24903499999996
1688608800000,91.83083999999997
1688609400000,90.89972999999995
1688610000000,89.56788499999996
1688610600000,89.02144499999996
1688611200000,89.65186499999996
1688611800000,88.44099999999996
1688612400000,86.87058999999995
1688613000000,87.05851499999996
1688613600000,85.36419499999997
1688614200000,85.13636999999997
1688614800000,86.75149499999996
1688615400000,86.47673499999998
1688616000000,84.87449999999997
1688616600000,83.47261999999996
1688617200000,82.92541999999999
1688617800000,83.575625
1688618400000,84.93541499999999
1688619000000,83.26442499999996
1688619600000,81.99073999999996
1688620200000,81.92756999999992
1688620800000,80.85591499999992
1688621400000,82.24019999999993
1688622000000,83.19745999999994
1688622600000,84.34758499999994
1688623200000,83.83764499999994
1688623800000,82.68982999999993
1688624400000,82.00332999999993
1688625000000,82.63804499999995
1688625600000,83.58212999999996
1688626200000,83.88625
1688626800000,83.56659
1688627400000,82.051525
1688628000000,83.45292500000002
1688628600000,82.60735500000001
