"Top 3 values of operator_technology","dtime per 30 days",Percentage
DSL,"2021-01-03","13.58%"
DSL,"2021-02-02","13.34%"
DSL,"2021-03-04","13.65%"
DSL,"2021-04-03","13.19%"
DSL,"2021-05-03","12.59%"
DSL,"2021-06-02","13.15%"
DSL,"2021-07-02","12.71%"
DSL,"2021-08-01","12.78%"
DSL,"2021-08-31","12.17%"
DSL,"2021-09-30","12.11%"
DSL,"2021-10-30","12.79%"
DSL,"2021-11-29","13.92%"
DSL,"2021-12-29","13.65%"
DSL,"2022-01-28","13.56%"
DSL,"2022-02-27","14.28%"
DSL,"2022-03-29","14.08%"
DSL,"2022-04-28","15.20%"
DSL,"2022-05-28","15.53%"
DSL,"2022-06-27","16.43%"
DSL,"2022-07-27","17.48%"
DSL,"2022-08-26","16.99%"
DSL,"2022-09-25",null
DSL,"2022-10-25","18.68%"
DSL,"2022-11-24","19.94%"
DSL,"2022-12-24","19.11%"
DSL,"2023-01-23","19.17%"
DSL,"2023-02-22","20.56%"
DSL,"2023-03-24","24.25%"
DSL,"2023-04-23","23.36%"
DSL,"2023-05-23","25.09%"
DSL,"2023-06-22","25.44%"
DSL,"2023-07-22","26.70%"
Fiber,"2010-12-27",null
Fiber,"2011-01-26","19.24%"
Fiber,"2011-02-25","22.17%"
Fiber,"2011-03-27","21.98%"
Fiber,"2011-04-26","19.30%"
Fiber,"2011-05-26","14.37%"
Fiber,"2011-06-25","14.43%"
Fiber,"2011-07-25","14.88%"
Fiber,"2011-08-24","13.58%"
Fiber,"2011-09-23","11.08%"
Fiber,"2011-10-23","11.52%"
Fiber,"2011-11-22","12.20%"
Fiber,"2011-12-22","12.11%"
Fiber,"2012-01-21","10.43%"
Fiber,"2012-02-20","12.04%"
Fiber,"2012-03-21","22.36%"
Fiber,"2012-04-20","24.22%"
Fiber,"2012-05-20","25.60%"
Fiber,"2012-06-19","25.21%"
Fiber,"2012-07-19","25.89%"
Fiber,"2012-08-18","24.39%"
Fiber,"2012-09-17","24.40%"
Fiber,"2012-10-17","25.06%"
Fiber,"2012-11-16","25.59%"
Fiber,"2012-12-16","23.58%"
Fiber,"2013-01-15","24.15%"
Fiber,"2013-02-14","23.74%"
Fiber,"2013-03-16","24.30%"
Fiber,"2013-04-15","24.64%"
Fiber,"2013-05-15","24.54%"
Fiber,"2013-06-14","25.54%"
Fiber,"2013-07-14","24.76%"
Fiber,"2013-08-13","25.66%"
Fiber,"2013-09-12","24.09%"
Fiber,"2013-10-12","23.03%"
Fiber,"2013-11-11","22.53%"
Fiber,"2013-12-11","21.91%"
Fiber,"2014-01-10","21.61%"
Fiber,"2014-02-09","21.95%"
Fiber,"2014-03-11","23.82%"
Fiber,"2014-04-10","24.04%"
Fiber,"2014-05-10","24.68%"
Fiber,"2014-06-09","23.60%"
Fiber,"2014-07-09","27.16%"
Fiber,"2014-08-08","35.37%"
Fiber,"2014-09-07","35.94%"
Fiber,"2014-10-07","35.01%"
Fiber,"2014-11-06","35.61%"
Fiber,"2014-12-06","35.41%"
Fiber,"2015-01-05","36.71%"
Fiber,"2015-02-04","36.67%"
Fiber,"2015-03-06","36.16%"
Fiber,"2015-04-05","37.50%"
Fiber,"2015-05-05","37.12%"
Fiber,"2015-06-04","37.32%"
Fiber,"2015-07-04","37.91%"
Fiber,"2015-08-03","37.68%"
Fiber,"2015-09-02","39.35%"
Fiber,"2015-10-02","40.00%"
Fiber,"2015-11-01","39.68%"
Fiber,"2015-12-01","40.62%"
Fiber,"2015-12-31","40.41%"
Fiber,"2016-01-30","43.56%"
Fiber,"2016-02-29","43.56%"
Fiber,"2016-03-30","41.12%"
Fiber,"2016-04-29","44.28%"
Fiber,"2016-05-29","47.82%"
Fiber,"2016-06-28",null
Fiber,"2016-07-28","41.52%"
Fiber,"2016-08-27","36.20%"
Fiber,"2016-09-26","37.22%"
Fiber,"2016-10-26","37.32%"
Fiber,"2016-11-25","37.51%"
Fiber,"2016-12-25","36.56%"
Fiber,"2017-01-24","36.27%"
Fiber,"2017-02-23","37.09%"
Fiber,"2017-03-25","38.12%"
Fiber,"2017-04-24","38.11%"
Fiber,"2017-05-24","38.22%"
Fiber,"2017-06-23","38.91%"
Fiber,"2017-07-23","44.88%"
Fiber,"2017-08-22","47.89%"
Fiber,"2017-09-21","48.21%"
Fiber,"2017-10-21","48.97%"
Fiber,"2017-11-20","50.30%"
Fiber,"2017-12-20","50.50%"
Fiber,"2018-01-19","52.17%"
Fiber,"2018-02-18","52.51%"
Fiber,"2018-03-20","53.37%"
Fiber,"2018-04-19","53.99%"
Fiber,"2018-05-19","55.25%"
Fiber,"2018-06-18","56.06%"
Fiber,"2018-07-18","56.71%"
Fiber,"2018-08-17","59.97%"
Fiber,"2018-09-16","63.07%"
Fiber,"2018-10-16","64.21%"
Fiber,"2018-11-15","64.68%"
Fiber,"2018-12-15","64.08%"
Fiber,"2019-01-14","65.70%"
Fiber,"2019-02-13","65.06%"
Fiber,"2019-03-15","65.72%"
Fiber,"2019-04-14","65.71%"
Fiber,"2019-05-14","67.63%"
Fiber,"2019-06-13","69.60%"
Fiber,"2019-07-13","72.20%"
Fiber,"2019-08-12","74.30%"
Fiber,"2019-09-11","74.83%"
Fiber,"2019-10-11","75.61%"
Fiber,"2019-11-10","75.52%"
Fiber,"2019-12-10","74.77%"
Fiber,"2020-01-09","62.99%"
Fiber,"2020-02-08","62.98%"
Fiber,"2020-03-09","62.68%"
Fiber,"2020-04-08","62.13%"
Fiber,"2020-05-08","62.53%"
Fiber,"2020-06-07","63.56%"
Fiber,"2020-07-07","63.71%"
Fiber,"2020-08-06","70.72%"
Fiber,"2020-09-05",null
Fiber,"2020-10-05","75.64%"
