"Top 3 values of operator_technology","dtime per 30 days","Latency"
Fiber,"2012-03-21","977.065"
Fiber,"2012-04-20","749.518"
Fiber,"2012-05-20","745.131"
Fiber,"2012-06-19","739.809"
Fiber,"2012-07-19","754.747"
Fiber,"2012-08-18","817.66"
Fiber,"2012-09-17","837.494"
Fiber,"2012-10-17","882.244"
Fiber,"2012-11-16","838.889"
Fiber,"2012-12-16","793.239"
Fiber,"2013-01-15","739.755"
Fiber,"2013-02-14","738.512"
Fiber,"2013-03-16","735.174"
Fiber,"2013-04-15","738.835"
Fiber,"2013-05-15","735.451"
Fiber,"2013-06-14","705.298"
Fiber,"2013-07-14","725.861"
Fiber,"2013-08-13","720.516"
Fiber,"2013-09-12","733.553"
Fiber,"2013-10-12","722.497"
Fiber,"2013-11-11","734.491"
Fiber,"2013-12-11","744.877"
Fiber,"2014-01-10","699.842"
Fiber,"2014-02-09","687.345"
Fiber,"2014-03-11","664.238"
Fiber,"2014-04-10","646.966"
Fiber,"2014-05-10","650.076"
Fiber,"2014-06-09","635.276"
Fiber,"2014-07-09","626.943"
Fiber,"2014-08-08","638.86"
Fiber,"2014-09-07","624.931"
Fiber,"2014-10-07","644.418"
Fiber,"2014-11-06","624.289"
Fiber,"2014-12-06","646.022"
Fiber,"2015-01-05","647.965"
Fiber,"2015-02-04","654.94"
Fiber,"2015-03-06","647.869"
Fiber,"2015-04-05","619.414"
Fiber,"2015-05-05","644.835"
Fiber,"2015-06-04","648.743"
Fiber,"2015-07-04","643.105"
Fiber,"2015-08-03","645.829"
Fiber,"2015-09-02","634.567"
Fiber,"2015-10-02","654.198"
Fiber,"2015-11-01","661.79"
Fiber,"2015-12-01","627.232"
Fiber,"2015-12-31","614.593"
Fiber,"2016-01-30","626.875"
Fiber,"2016-02-29","622.256"
Fiber,"2016-03-30","572.798"
Fiber,"2016-04-29","560.417"
Fiber,"2016-05-29","573.151"
Fiber,"2016-06-28","605.556"
Fiber,"2016-07-28","703.092"
Fiber,"2016-08-27","782.436"
Fiber,"2016-09-26","754.646"
Fiber,"2016-10-26","808.983"
Fiber,"2016-11-25","816.353"
Fiber,"2016-12-25","832.746"
Fiber,"2017-01-24","841.235"
Fiber,"2017-02-23","820.164"
Fiber,"2017-03-25","842.179"
Fiber,"2017-04-24","839.522"
Fiber,"2017-05-24","818.645"
Fiber,"2017-06-23","790.46"
Fiber,"2017-07-23","776.225"
Fiber,"2017-08-22","756.518"
Fiber,"2017-09-21","793.515"
Fiber,"2017-10-21","769.963"
Fiber,"2017-11-20","750.828"
Fiber,"2017-12-20","767.056"
Fiber,"2018-01-19","752.827"
Fiber,"2018-02-18","753.863"
Fiber,"2018-03-20","741.175"
Fiber,"2018-04-19","737.693"
Fiber,"2018-05-19","733.426"
Fiber,"2018-06-18","744.454"
Fiber,"2018-07-18","769.989"
Fiber,"2018-08-17","801.905"
Fiber,"2018-09-16","778.193"
Fiber,"2018-10-16","766.252"
Fiber,"2018-11-15","783.899"
Fiber,"2018-12-15","804.351"
Fiber,"2019-01-14","804.81"
Fiber,"2019-02-13","804.763"
Fiber,"2019-03-15","800.314"
Fiber,"2019-04-14","815.878"
Fiber,"2019-05-14","778.221"
Fiber,"2019-06-13","772.777"
Fiber,"2019-07-13","752.656"
Fiber,"2019-08-12","699.653"
Fiber,"2019-09-11","699.216"
Fiber,"2019-10-11","702.82"
Fiber,"2019-11-10","682.569"
Fiber,"2019-12-10","659.621"
Fiber,"2020-01-09","956.362"
Fiber,"2020-02-08","939.015"
Fiber,"2020-03-09","933.891"
Fiber,"2020-04-08","995.711"
Fiber,"2020-05-08","928.831"
Fiber,"2020-06-07","916.524"
Fiber,"2020-07-07","870.097"
Fiber,"2020-08-06","767.566"
Fiber,"2020-10-05","709.36"
Fiber,"2020-11-04","747.624"
Fiber,"2020-12-04","722.207"
Fiber,"2021-01-03","1,267.641"
Fiber,"2021-02-02","1,281.947"
Fiber,"2021-03-04","1,126.361"
Fiber,"2021-04-03","1,075.529"
Fiber,"2021-05-03","1,148.001"
Fiber,"2021-06-02","1,191.529"
Fiber,"2021-07-02","1,257.111"
Fiber,"2021-08-01","1,208.847"
Fiber,"2021-08-31","1,347.148"
Fiber,"2021-09-30","1,509.789"
Fiber,"2021-10-30","1,494.582"
Fiber,"2021-11-29","1,227.385"
Fiber,"2021-12-29","1,413.26"
Fiber,"2022-01-28","1,357.342"
Fiber,"2022-02-27","1,456.337"
Fiber,"2022-03-29","1,348.94"
Fiber,"2022-04-28","1,241.281"
Fiber,"2022-05-28","1,342.268"
Fiber,"2022-06-27","1,274.163"
Fiber,"2022-07-27","1,192.246"
Fiber,"2022-08-26","1,075.848"
Fiber,"2022-10-25","1,070.164"
Fiber,"2022-11-24","911.413"
Fiber,"2022-12-24","901.182"
Fiber,"2023-01-23","1,105.212"
Fiber,"2023-02-22","1,056.686"
Fiber,"2023-03-24","699.48"
