"Top 3 values of operator_technology","dtime per 30 days","Latency"
Fiber,"2019-01-14","1,040.937"
Fiber,"2019-02-13","1,064.757"
Fiber,"2019-03-15","1,065.871"
Fiber,"2019-04-14","1,058.121"
Fiber,"2019-05-14","1,047.386"
Fiber,"2019-06-13","1,006.968"
Fiber,"2019-07-13","915.504"
Fiber,"2019-08-12","895.994"
Fiber,"2019-09-11","875.216"
Fiber,"2019-10-11","829.049"
Fiber,"2019-11-10","761.797"
Fiber,"2019-12-10","806.614"
Fiber,"2020-01-09","2,063.58"
Fiber,"2020-02-08","2,042.692"
Fiber,"2020-03-09","2,007.537"
Fiber,"2020-04-08","2,045.905"
Fiber,"2020-05-08","2,158.388"
Fiber,"2020-06-07","2,021.441"
Fiber,"2020-07-07","2,023.061"
Fiber,"2020-08-06","1,981.788"
Fiber,"2020-10-05","1,748.979"
Fiber,"2020-11-04","1,784.994"
Fiber,"2020-12-04","1,833.69"
Fiber,"2021-01-03","2,104.117"
Fiber,"2021-02-02","2,097.092"
Fiber,"2021-03-04","2,114.925"
Fiber,"2021-04-03","2,178.889"
Fiber,"2021-05-03","1,822.356"
Fiber,"2021-06-02","963.369"
Fiber,"2021-07-02","929.654"
Fiber,"2021-08-01","934.603"
Fiber,"2021-08-31","874.913"
Fiber,"2021-09-30","844.285"
Fiber,"2021-10-30","828.105"
Fiber,"2021-11-29","791.84"
Fiber,"2021-12-29","856.096"
Fiber,"2022-01-28","950.362"
Fiber,"2022-02-27","933.724"
Fiber,"2022-03-29","931.206"
Fiber,"2022-04-28","963.955"
Fiber,"2022-05-28","1,005.507"
Fiber,"2022-06-27","1,106.338"
Fiber,"2022-07-27","946.053"
Fiber,"2022-08-26","963.269"
Fiber,"2022-10-25","1,225.123"
Fiber,"2022-11-24","1,196.603"
Fiber,"2022-12-24","1,086.741"
Fiber,"2023-01-23","1,093.43"
Fiber,"2023-02-22","891.964"
Fiber,"2023-03-24","996.796"
