"Top 3 values of operator_technology","time per 30 days","Latency"
DSL,"2017-11-20","1,550.538"
DSL,"2017-12-20","1,479.08"
DSL,"2018-01-19","1,483.812"
DSL,"2018-02-18","1,471.42"
DSL,"2018-03-20","1,473.942"
DSL,"2018-04-19","1,486.007"
DSL,"2018-05-19","1,551.002"
DSL,"2018-06-18","1,495.818"
DSL,"2018-07-18","1,405.866"
DSL,"2018-08-17","1,548.319"
DSL,"2018-09-16","1,534.335"
DSL,"2018-10-16","1,542.896"
DSL,"2018-11-15","1,558.792"
DSL,"2018-12-15","1,565.854"
DSL,"2019-01-14","1,508.132"
DSL,"2019-02-13","1,535.927"
DSL,"2019-03-15","1,484.013"
DSL,"2019-04-14","1,453.944"
DSL,"2019-05-14","1,399.821"
DSL,"2019-06-13","1,460.89"
DSL,"2019-07-13","1,503.693"
DSL,"2019-08-12","1,489.526"
DSL,"2019-09-11","1,486.236"
DSL,"2019-10-11","1,480.265"
DSL,"2019-11-10","1,438.528"
DSL,"2019-12-10","1,434.216"
DSL,"2020-01-09","1,378.602"
DSL,"2020-02-08","1,375.809"
DSL,"2020-03-09","1,355.2"
DSL,"2020-04-08","1,357.896"
DSL,"2020-05-08","1,312.825"
DSL,"2020-06-07","1,290.321"
DSL,"2020-07-07","1,288.42"
DSL,"2020-08-06","1,041.988"
DSL,"2020-10-05","1,079.419"
DSL,"2020-11-04","1,098.207"
DSL,"2020-12-04","1,064.654"
DSL,"2021-01-03","973.287"
DSL,"2021-02-02","1,036.81"
DSL,"2021-03-04","1,003.418"
DSL,"2021-04-03","1,022.935"
DSL,"2021-05-03","1,001.635"
DSL,"2021-06-02","983.995"
DSL,"2021-07-02","1,013.771"
DSL,"2021-08-01","990.442"
DSL,"2021-08-31","996.061"
DSL,"2021-09-30","1,028.937"
DSL,"2021-10-30","986.735"
DSL,"2021-11-29","932.901"
DSL,"2021-12-29","947.246"
DSL,"2022-01-28","920.389"
DSL,"2022-02-27","915.924"
DSL,"2022-03-29","864.171"
DSL,"2022-04-28","884.56"
DSL,"2022-05-28","899.869"
DSL,"2022-06-27","932.697"
DSL,"2022-07-27","907.748"
DSL,"2022-08-26","882.62"
DSL,"2022-10-25","809.149"
DSL,"2022-11-24","787.054"
DSL,"2022-12-24","829.528"
DSL,"2023-01-23","810.671"
DSL,"2023-02-22","796.583"
DSL,"2023-03-24","793.268"
DSL,"2023-04-23","753.096"
DSL,"2023-05-23","789.627"
DSL,"2023-06-22","761.309"
DSL,"2023-07-22","815.932"
Fiber,"2011-12-22","493.848"
Fiber,"2012-01-21","572.077"
Fiber,"2012-02-20","745.523"
Fiber,"2012-03-21","561.339"
Fiber,"2012-04-20","503.096"
Fiber,"2012-05-20","516.939"
Fiber,"2012-06-19","511.73"
Fiber,"2012-07-19","518.907"
Fiber,"2012-08-18","576.25"
Fiber,"2012-09-17","596.786"
Fiber,"2012-10-17","603.613"
Fiber,"2012-11-16","587.2"
Fiber,"2012-12-16","574.694"
Fiber,"2013-01-15","550.67"
Fiber,"2013-02-14","539.156"
Fiber,"2013-03-16","533.44"
Fiber,"2013-04-15","523.025"
Fiber,"2013-05-15","502.931"
Fiber,"2013-06-14","476.699"
Fiber,"2013-07-14","477.552"
Fiber,"2013-08-13","464.743"
Fiber,"2013-09-12","479.293"
Fiber,"2013-10-12","474.391"
Fiber,"2013-11-11","473.822"
Fiber,"2013-12-11","474.979"
Fiber,"2014-01-10","465.827"
Fiber,"2014-02-09","454.292"
Fiber,"2014-03-11","450.716"
Fiber,"2014-04-10","425.425"
Fiber,"2014-05-10","435.08"
Fiber,"2014-06-09","439.168"
Fiber,"2014-07-09","435.274"
Fiber,"2014-08-08","431.503"
Fiber,"2014-09-07","428.558"
Fiber,"2014-10-07","415.415"
Fiber,"2014-11-06","404.352"
Fiber,"2014-12-06","413.322"
Fiber,"2015-01-05","406.11"
Fiber,"2015-02-04","394.991"
Fiber,"2015-03-06","392.957"
Fiber,"2015-04-05","383.988"
Fiber,"2015-05-05","388.197"
Fiber,"2015-06-04","393.436"
Fiber,"2015-07-04","394.33"
Fiber,"2015-08-03","389.807"
Fiber,"2015-09-02","389.953"
Fiber,"2015-10-02","396.269"
Fiber,"2015-11-01","395.657"
Fiber,"2015-12-01","380.793"
Fiber,"2015-12-31","371.284"
Fiber,"2016-01-30","374.42"
Fiber,"2016-02-29","371.57"
Fiber,"2016-03-30","359.149"
Fiber,"2016-04-29","365.227"
Fiber,"2016-05-29","368.322"
Fiber,"2016-06-28","367.031"
Fiber,"2016-07-28","420.346"
Fiber,"2016-08-27","486.799"
Fiber,"2016-09-26","452.188"
Fiber,"2016-10-26","440.36"
Fiber,"2016-11-25","453.111"
Fiber,"2016-12-25","466.09"
Fiber,"2017-01-24","459.914"
Fiber,"2017-02-23","454.811"
Fiber,"2017-03-25","437.932"
Fiber,"2017-04-24","439.786"
Fiber,"2017-05-24","419.351"
Fiber,"2017-06-23","405.678"
Fiber,"2017-07-23","406.948"
Fiber,"2017-08-22","370.123"
Fiber,"2017-09-21","389.852"
Fiber,"2017-10-21","395.288"
Fiber,"2017-11-20","382.95"
Fiber,"2017-12-20","379.493"
Fiber,"2018-01-19","383.815"
Fiber,"2018-02-18","392.864"
Fiber,"2018-03-20","383.426"
Fiber,"2018-04-19","391.713"
Fiber,"2018-05-19","374.695"
Fiber,"2018-06-18","372.624"
Fiber,"2018-07-18","363.727"
Fiber,"2018-08-17","343.666"
Fiber,"2018-09-16","284.869"
Fiber,"2018-10-16","264.507"
Fiber,"2018-11-15","270.678"
Fiber,"2018-12-15","284.372"
Fiber,"2019-01-14","300.711"
Fiber,"2019-02-13","299.108"
Fiber,"2019-03-15","294.817"
Fiber,"2019-04-14","320.362"
Fiber,"2019-05-14","270.807"
Fiber,"2019-06-13","303.204"
Fiber,"2019-07-13","248.897"
Fiber,"2019-08-12","210.323"
Fiber,"2019-09-11","221.797"
Fiber,"2019-10-11","200.117"
Fiber,"2019-11-10","176.186"
Fiber,"2019-12-10","190.808"
Fiber,"2020-01-09","289.688"
Fiber,"2020-02-08","286.433"
Fiber,"2020-03-09","294.339"
Fiber,"2020-04-08","303.793"
Fiber,"2020-05-08","310.648"
Fiber,"2020-06-07","278.109"
Fiber,"2020-07-07","255.381"
Fiber,"2020-08-06","200.986"
Fiber,"2020-10-05","175.574"
Fiber,"2020-11-04","191.885"
Fiber,"2020-12-04","188.185"
Fiber,"2021-01-03","266.621"
Fiber,"2021-02-02","246.483"
Fiber,"2021-03-04","220.467"
Fiber,"2021-04-03","232.032"
