"dtime_local per 10 minutes","Average of rtt_max"
1688448000000,30.958824951472046
1688448600000,31.06417306955634
1688449200000,30.93670439017924
1688449800000,30.908898713108442
1688450400000,30.63443100980001
1688451000000,30.56035732032106
1688451600000,30.995240624713304
1688452200000,31.002454076199932
1688452800000,31.09189069671768
1688453400000,31.132673169839784
1688454000000,30.706967643876666
1688454600000,30.69891513647791
1688455200000,31.011173993953236
1688455800000,31.091596574811906
1688456400000,31.12833061015159
1688457000000,31.412939000755024
1688457600000,31.198340167640353
1688458200000,31.289091347037484
1688458800000,31.64372645257366
1688459400000,31.9435983158941
1688460000000,32.00843902121438
1688460600000,32.3110461344232
1688461200000,32.323495082013366
1688461800000,32.38418625390018
1688462400000,32.7119176936407
1688463000000,32.930545423124265
1688463600000,32.916194645184326
1688464200000,33.0924185890346
1688464800000,32.976496807474746
1688465400000,32.784334835532526
1688466000000,33.21237866749637
1688466600000,33.14679899993972
1688467200000,33.32177340315199
1688467800000,33.531846264189184
1688468400000,33.46736386083846
1688469000000,33.12730044285715
1688469600000,33.35728737099287
1688470200000,33.72790884793039
1688470800000,33.620188863873004
1688471400000,33.98715613389451
1688472000000,33.79016337171587
1688472600000,33.716575107311876
1688473200000,33.94312595318972
1688473800000,34.10325027289396
1688474400000,34.072151092778164
1688475000000,34.356496854926206
1688475600000,34.22718966424458
1688476200000,33.74069864879972
1688476800000,33.938356339357675
1688477400000,33.811605427343494
1688478000000,33.61607488450032
1688478600000,33.79011468192319
1688479200000,33.46070868405027
1688479800000,33.155720554348285
1688480400000,33.26603428199337
1688481000000,33.51993014183252
1688481600000,33.504032269652065
1688482200000,33.53577781109054
1688482800000,33.610323832795736
1688483400000,33.700914553749506
1688484000000,33.87980620111116
1688484600000,34.20518197050459
1688485200000,34.40168283884901
1688485800000,34.44746609471996
1688486400000,34.50755051376463
1688487000000,34.27310905605489
1688487600000,34.40144849353749
1688488200000,34.9129804392281
1688488800000,34.92792004612855
1688489400000,34.895918190531916
1688490000000,35.45460779378533
1688490600000,35.201098856856774
1688491200000,35.36480307865667
1688491800000,35.48504999815599
1688492400000,35.601780908096515
1688493000000,35.67109605065318
1688493600000,36.031801960271224
1688494200000,35.62900737800535
1688494800000,35.58922796489098
1688495400000,35.90803320014295
1688496000000,35.283946594700566
1688496600000,35.22678321993135
1688497200000,35.317293275559045
1688497800000,35.309533507346465
1688498400000,34.9439982065645
1688499000000,35.4711370326862
1688499600000,34.98484948214919
1688500200000,35.14581182218152
1688500800000,35.48743556466268
1688501400000,35.28950295637162
1688502000000,35.48477882074442
1688502600000,35.838447183109345
1688503200000,35.40207603024008
