Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
6996,Qwest,1.5,0.896,DSL,AZ,WEST,30,-7,-7
6999,TimeWarner,10,1,CABLE,WI,MIDWEST,28,-6,-5
7004,Insight,10,1.5,CABLE,IN,MIDWEST,30,-6,-5
7006,Comcast,15,2,CABLE,MI,MIDWEST,30,-5,-4
7009,AT&T,6,0.768,DSL,IL,MIDWEST,30,-6,-5
7010,Charter,100,5,CABLE,CA,WEST,30,-8,-7
7015,Charter,15,3,CABLE,AL,SOUTH,30,-6,-5
7016,CenturyLink,1.5,0.512,DSL,MT,WEST,18,-7,-6
7017,AT&T,12,1.5,DSL,CA,WEST,30,-8,-7
7020,AT&T,24,3,DSL,FL,SOUTH,19,-5,-4
7025,TimeWarner,10,1,CABLE,NY,NORTHEAST,30,-5,-4
7026,TimeWarner,10,1,CABLE,CA,WEST,30,-8,-7
7027,Cox,50,5,CABLE,NE,MIDWEST,30,-6,-5
7028,Verizon,50,25,FIBER,TX,SOUTH,30,-6,-5
7032,Cox,18,2,CABLE,CA,WEST,30,-8,-7
7034,Comcast,50,15,CABLE,WA,WEST,30,-8,-7
7035,TimeWarner,20,2,CABLE,TX,SOUTH,30,-6,-5
7038,Cox,28,4,CABLE,KS,MIDWEST,30,-6,-5
7039,Charter,15,3,CABLE,MA,NORTHEAST,30,-5,-4
7041,Frontier,0.768,0.128,DSL,WV,SOUTH,24,-5,-4
7042,Verizon,35,35,FIBER,CA,WEST,30,-8,-7
7043,Verizon,25,25,FIBER,VA,SOUTH,30,-5,-4
7045,Comcast,25,4,CABLE,Or,WEST,30,-8,-7
7046,Qwest,12,0.896,DSL,WA,WEST,20,-8,-7
7048,AT&T,12,1.5,DSL,Ca,WEST,30,-8,-7
7050,Charter,25,3,CABLE,WI,MIDWEST,30,-6,-5
7053,Charter,100,5,CABLE,TN,SOUTH,30,-6,-5
7055,AT&T,6,0.768,DSL,TX,SOUTH,30,-6,-5
7057,Qwest,1.5,0.896,DSL,MN,MIDWEST,30,-6,-5
7060,TimeWarner,3,1,CABLE,HI,WEST,30,-10,-10
7061,Cox,18,4,CABLE,KS,MIDWEST,30,-6,-5
7063,AT&T,6,0.512,DSL,Ga,SOUTH,30,-5,-4
