Unit ID,ISP,Technology,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION
5659,Miscellaneous,REMOVE,MISC,MISC,-7,-7,AZ,WEST
5670,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
5720,Cox,CABLE,50,5,-7,-7,AZ,WEST
5737,Cox,CABLE,50,5,-7,-7,AZ,WEST
5836,Cox,CABLE,5,1,-7,-7,AZ,WEST
5851,Qwest,DSL,1.5,0.896,-7,-7,AZ,WEST
5930,Cox,CABLE,100,10,-7,-7,AZ,WEST
5938,Cox,CABLE,25,5,-7,-7,AZ,WEST
6031,Qwest,DSL,40,5,-7,-7,AZ,WEST
6052,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
6106,Qwest,DSL,7,0.896,-7,-7,AZ,WEST
6210,Cox,CABLE,100,10,-7,-7,AZ,WEST
6355,Cox,CABLE,100,10,-7,-7,AZ,WEST
6370,Cox,CABLE,25,5,-7,-7,AZ,WEST
6494,Cox,CABLE,25,5,-7,-7,AZ,WEST
6536,Cox,CABLE,5,1,-7,-7,AZ,WEST
6580,Cox,CABLE,50,5,-7,-7,AZ,WEST
6605,Cox,CABLE,25,5,-7,-7,AZ,WEST
6656,Cox,CABLE,100,20,-7,-7,AZ,WEST
6694,Qwest,DSL,20,0.896,-7,-7,AZ,WEST
6722,Brighthouse,CABLE,10,1,-7,-7,AZ,WEST
6723,Cox,CABLE,100,10,-7,-7,AZ,WEST
6725,Cox,CABLE,50,5,-7,-7,AZ,WEST
6734,Cox,CABLE,100,10,-7,-7,AZ,WEST
6754,Cox,CABLE,25,5,-7,-7,AZ,WEST
6765,Cox,CABLE,100,10,-7,-7,AZ,WEST
6783,Cox,CABLE,25,5,-7,-7,AZ,WEST
6800,Comcast,CABLE,25,5,-7,-7,AZ,WEST
6816,Cox,CABLE,50,5,-7,-7,AZ,WEST
6876,Cox,CABLE,25,5,-7,-7,AZ,WEST
6904,Cox,CABLE,50,5,-7,-7,AZ,WEST
6996,Qwest,DSL,1.5,0.896,-7,-7,AZ,WEST
7086,Cox,CABLE,1,0.384,-7,-7,AZ,WEST
7090,Mediacom,CABLE,15,1,-7,-7,AZ,WEST
7102,Cox,CABLE,5,1,-7,-7,AZ,WEST
7158,Qwest,DSL,20,0.896,-7,-7,AZ,WEST
7187,Cox,CABLE,100,10,-7,-7,AZ,WEST
7196,Cox,CABLE,100,10,-7,-7,AZ,WEST
7211,Cox,CABLE,5,1,-7,-7,AZ,WEST
7215,Cox,CABLE,50,5,-7,-7,AZ,WEST
7230,Charter,CABLE,60,4,-7,-7,AZ,WEST
7262,Cox,CABLE,25,5,-7,-7,AZ,WEST
7303,Cox,CABLE,25,5,-7,-7,AZ,WEST
7350,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
7372,Cox,CABLE,100,10,-7,-7,AZ,WEST
7373,Cox,CABLE,50,5,-7,-7,AZ,WEST
7490,Cox,CABLE,50,5,-7,-7,AZ,WEST
7492,Cox,CABLE,50,5,-8,-7,AZ,WEST
7497,Cox,CABLE,25,5,-7,-7,AZ,WEST
7529,Cox,CABLE,100,10,-7,-7,AZ,WEST
7621,Cox,CABLE,50,5,-6,-5,AZ,WEST
7674,Qwest,DSL,7,0.896,-7,-7,AZ,WEST
