Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
599930,CenturyLink,DSL,OR,West,-8 hr,-7 hr,40,,,20,WR1043ND,Yes,Yes
998041,Hughes,Satellite,TN,South,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
8501,Charter,Cable,NY,Northeast,-5 hr,-4 hr,60,,,5,WNR3500L,Yes,Yes
6123,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WNR3500L,Yes,Yes
1006332,CenturyLink,DSL,UT,West,-7 hr,-6 hr,40,,,5,SK Whitebox 8.0,Yes,Yes
6027,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WNR3500L,Yes,Yes
799152,Hughes,Satellite,AR,South,-6 hr,-5 hr,25,,,3,WDR3600,Yes,Yes
7273,CenturyLink,DSL,CO,West,-7 hr,-6 hr,40,,,5,WNR3500L,Yes,Yes
7511,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,45,,,6,WNR3500L,Yes,Yes
1007034,CenturyLink,DSL,ID,West,-7 hr,-6 hr,20,,,0.896,SK Whitebox 8.0,Yes,Yes
999003,Hughes,Satellite,MT,West,-7 hr,-6 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
599842,Charter,Cable,MO,Midwest,-6 hr,-5 hr,30,,,5,WR1043ND,Yes,Yes
235308,CenturyLink,DSL,UT,West,-7 hr,-6 hr,40,,,20,WDR3600,Yes,Yes
216238,CenturyLink,DSL,AZ,West,-7 hr,-7 hr,40,,,5,WR741NDv4,Yes,Yes
28970,Comcast,Cable,CO,West,-7 hr,-6 hr,50,,,5,WR1043ND,Yes,Yes
798350,Mediacom,Cable,IA,Midwest,-6 hr,-5 hr,60,,,5,WR741NDv4,Yes,Yes
9284,AT&T,IPBB,MO,Midwest,-6 hr,-5 hr,45,,,6,WNR3500L,Yes,Yes
998053,Hughes,Satellite,IN,Midwest,-5 hr,-4 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
999023,Hughes,Satellite,AL,South,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
998027,Hughes,Satellite,KY,South,-5 hr,-4 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
812000,AT&T,IPBB,CA,West,-8 hr,-7 hr,45,,,6,WR741NDv4,Yes,Yes
997489,Hughes,Satellite,TX,South,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
1000768,Cincinnati Bell ,Fiber,OH,Midwest,-5 hr,-4 hr,50,,,10,SK Whitebox 8.0,Yes,Yes
941646,Cincinnati Bell ,Fiber,OH,Midwest,-5 hr,-4 hr,50,,,10,AC1750v2,Yes,Yes
998035,Hughes,Satellite,LA,South,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
994237,AT&T,IPBB,NC,South,-5 hr,-4 hr,45,,,6,SK Whitebox 8.0,Yes,Yes
