Unit ID,ISP,Technology,STATE,CENSUS,timezone_offset,timezone_offset_dst,Download,Upload
7511,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
7518,AT&T,REMOVE,OH,MIDWEST,-5,-4,REMOVE,REMOVE
7545,AT&T,UVERSE,WI,MIDWEST,-6,-5,6,1
7554,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
7620,AT&T,UVERSE,MI,MIDWEST,-5,-4,24,3
7649,AT&T,REMOVE,FL,SOUTH,-5,-4,REMOVE,REMOVE
7669,AT&T,UVERSE,CA,WEST,-8,-7,6,0.768
7804,AT&T,DSL,IN,MIDWEST,-6,-5,1.5,0.256
7821,AT&T,UVERSE,IL,MIDWEST,-6,-5,24,3
7826,AT&T,UVERSE,GA,SOUTH,-5,-4,12,1.5
7868,AT&T,UVERSE,TX,SOUTH,-6,-5,45,6
7873,AT&T,DSL,KS,MIDWEST,-6,-5,3,0.384
7880,AT&T,UVERSE,MI,MIDWEST,-5,-4,24,3
7891,AT&T,DSL,IL,MIDWEST,-6,-5,3,0.384
7902,AT&T,UVERSE,WI,MIDWEST,-6,-5,24,3
7974,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
7987,AT&T,UVERSE,IN,MIDWEST,-6,-5,18,1.5
8062,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
8089,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
8133,AT&T,REMOVE,CT,NORTHEAST,-5,-4,REMOVE,REMOVE
8153,AT&T,UVERSE,CT,NORTHEAST,-5,-4,12,1.5
8229,AT&T,REMOVE,TX,SOUTH,-6,-5,REMOVE,REMOVE
8241,AT&T,UVERSE,GA,SOUTH,-5,-4,75,8
8243,AT&T,UVERSE,OK,SOUTH,-6,-5,6,0.768
8254,AT&T,UVERSE,CA,WEST,-8,-7,45,6
8262,AT&T,UVERSE,IN,MIDWEST,-6,-5,6,0.768
8285,AT&T,UVERSE,SC,SOUTH,-5,-4,18,1.5
8299,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
8329,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
8332,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
8350,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1.5
8355,AT&T,UVERSE,MI,MIDWEST,-5,-4,6,1
8375,AT&T,UVERSE,IN,MIDWEST,-5,-4,12,1
8389,AT&T,UVERSE,IN,MIDWEST,-6,-5,12,1.5
8406,AT&T,REMOVE,TX,SOUTH,-6,-5,REMOVE,REMOVE
8411,AT&T,DSL,CA,WEST,-8,-7,6,0.512
8415,AT&T,DSL,MI,MIDWEST,-5,-4,6,0.512
8457,AT&T,UVERSE,LA,SOUTH,-6,-5,18,1.5
8483,AT&T,UVERSE,OH,MIDWEST,-5,-4,6,1
8607,AT&T,UVERSE,WI,MIDWEST,-6,-5,45,6
8807,AT&T,UVERSE,GA,SOUTH,-5,-4,18,1.5
8823,AT&T,UVERSE,WI,MIDWEST,-6,-5,24,3
8876,AT&T,UVERSE,GA,SOUTH,-5,-4,45,6
9015,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
9046,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1.5
9051,AT&T,UVERSE,FL,SOUTH,-5,-4,45,6
9117,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
9206,AT&T,UVERSE,IN,MIDWEST,-6,-5,6,1
9224,AT&T,UVERSE,CA,WEST,-8,-7,6,1
9284,AT&T,UVERSE,MO,MIDWEST,-6,-5,45,6
9288,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
9290,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
9309,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1.5
9438,AT&T,UVERSE,TN,SOUTH,-5,-4,18,1.5
9468,AT&T,DSL,AR,SOUTH,-6,-5,3,0.384
9523,AT&T,REMOVE,GA,SOUTH,-5,-4,REMOVE,REMOVE
9598,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1.5
9616,AT&T,UVERSE,FL,SOUTH,-5,-4,12,1.5
9644,AT&T,UVERSE,AR,SOUTH,-6,-5,12,1.5
9646,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1.5
9737,AT&T,UVERSE,MO,MIDWEST,-6,-5,18,1.5
9759,AT&T,UVERSE,TX,SOUTH,-6,-5,6,1
9849,AT&T,UVERSE,WI,MIDWEST,-6,-5,3,1
9858,AT&T,UVERSE,CA,WEST,-8,-7,6,1
9864,AT&T,UVERSE,MO,MIDWEST,-6,-5,24,3
9898,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
9915,AT&T,UVERSE,FL,SOUTH,-5,-4,12,1.5
9953,AT&T,UVERSE,MS,SOUTH,-6,-5,6,1
9996,AT&T,UVERSE,GA,SOUTH,-5,-4,18,1.5
10037,AT&T,UVERSE,OH,MIDWEST,-5,-4,3,0.512
10126,AT&T,REMOVE,IL,MIDWEST,-6,-5,REMOVE,REMOVE
10243,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
10326,AT&T,UVERSE,NV,WEST,-8,-7,6,1
10559,AT&T,UVERSE,CA,WEST,-8,-7,3,0.512
10665,AT&T,UVERSE,OK,SOUTH,-6,-5,6,1
10729,AT&T,UVERSE,IN,MIDWEST,-6,-5,6,1
10780,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
10793,AT&T,UVERSE,IN,MIDWEST,-6,-5,12,1
10910,AT&T,UVERSE,KY,SOUTH,-5,-4,12,1.5
10911,AT&T,UVERSE,CA,WEST,-8,-7,6,0.768
11069,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
11114,AT&T,DSL,MS,SOUTH,-6,-5,0.768,0.128
11122,AT&T,UVERSE,SC,SOUTH,-5,-4,12,1
11123,AT&T,UVERSE,OH,MIDWEST,-5,-4,6,1
11331,AT&T,DSL,OH,MIDWEST,-5,-4,1.5,0.256
11333,AT&T,DSL,GA,SOUTH,-5,-4,1.5,0.256
11366,AT&T,UVERSE,IL,MIDWEST,-6,-5,6,1
11378,AT&T,DSL,OK,SOUTH,-6,-5,6,0.512
11474,AT&T,UVERSE,IL,MIDWEST,-6,-5,45,6
11524,AT&T,UVERSE,NC,SOUTH,-5,-4,18,1.5
11702,AT&T,UVERSE,TX,SOUTH,-6,-5,6,1
11719,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
11902,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
11909,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
11911,AT&T,REMOVE,KY,SOUTH,-5,-4,REMOVE,REMOVE
11970,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
12061,AT&T,UVERSE,GA,SOUTH,-6,-5,45,6
12141,AT&T,REMOVE,FL,SOUTH,-5,-4,REMOVE,REMOVE
12182,AT&T,UVERSE,IL,MIDWEST,-6,-5,24,3
12281,AT&T,UVERSE,CA,WEST,-8,-7,45,6
13008,AT&T,UVERSE,CA,WEST,-8,-7,6,1
13109,AT&T,DSL,TX,SOUTH,-6,-5,6,0.512
13411,AT&T,UVERSE,TX,SOUTH,-6,-5,45,6
13412,AT&T,UVERSE,FL,SOUTH,-6,-5,18,1.5
13414,AT&T,REMOVE,TX,SOUTH,-6,-5,REMOVE,REMOVE
13424,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
13441,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
13470,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
13601,AT&T,UVERSE,KY,SOUTH,-5,-4,24,3
14654,AT&T,UVERSE,MO,MIDWEST,-6,-5,18,1.5
14740,AT&T,UVERSE,KS,MIDWEST,-6,-5,18,1.5
26419,AT&T,UVERSE,NC,SOUTH,-5,-4,18,1.5
26431,AT&T,UVERSE,GA,SOUTH,-5,-4,24,3
26435,AT&T,UVERSE,GA,SOUTH,-5,-4,6,0.768
26440,AT&T,REMOVE,GA,SOUTH,-5,-4,REMOVE,REMOVE
26442,AT&T,UVERSE,FL,SOUTH,-5,-4,18,1.5
26631,AT&T,UVERSE,SC,SOUTH,-5,-4,18,1.5
26641,AT&T,UVERSE,TN,SOUTH,-6,-5,18,1.5
26659,AT&T,REMOVE,CT,NORTHEAST,-5,-4,REMOVE,REMOVE
26660,AT&T,UVERSE,CT,NORTHEAST,-5,-4,1.5,0.384
26689,AT&T,UVERSE,FL,SOUTH,-5,-4,6,1
26904,AT&T,UVERSE,NC,SOUTH,-5,-4,12,1.5
27046,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
27115,AT&T,UVERSE,CA,WEST,-8,-7,24,3
27163,AT&T,DSL,NV,WEST,-8,-7,3,0.384
27304,AT&T,UVERSE,OH,MIDWEST,-5,-4,24,3
27307,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
27349,AT&T,UVERSE,WI,MIDWEST,-6,-5,75,8
27577,AT&T,UVERSE,IL,MIDWEST,-6,-5,12,1.5
27633,AT&T,UVERSE,TX,SOUTH,-6,-5,24,3
27659,AT&T,UVERSE,MI,MIDWEST,-5,-4,12,1
27682,AT&T,DSL,MO,MIDWEST,-6,-5,1.5,0.256
27698,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1
27702,AT&T,REMOVE,TX,SOUTH,-6,-5,REMOVE,REMOVE
27734,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
27738,AT&T,UVERSE,IL,MIDWEST,-6,-5,6,1
27739,AT&T,UVERSE,IL,MIDWEST,-6,-5,18,1.5
27786,AT&T,UVERSE,OH,MIDWEST,-5,-4,3,0.512
27812,AT&T,REMOVE,IN,MIDWEST,-6,-5,REMOVE,REMOVE
27952,AT&T,UVERSE,MO,MIDWEST,-6,-5,18,1.5
28063,AT&T,UVERSE,KY,SOUTH,-5,-4,18,1.5
28216,AT&T,UVERSE,MD,SOUTH,-5,-4,75,8
28681,AT&T,UVERSE,FL,SOUTH,-5,-4,18,1.5
28761,AT&T,UVERSE,WI,MIDWEST,-6,-5,6,0.768
28800,AT&T,UVERSE,TX,SOUTH,-6,-5,3,0.512
28803,AT&T,DSL,TX,SOUTH,-6,-5,1.5,0.256
28881,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
28901,AT&T,REMOVE,FL,SOUTH,-5,-4,REMOVE,REMOVE
28945,AT&T,UVERSE,AR,SOUTH,-6,-5,12,1.5
31572,AT&T,UVERSE,UNKNOWN,UNKNOWN,-5,-4,24,3
32383,AT&T,UVERSE,TX,SOUTH,-6,-5,12,1
32549,AT&T,UVERSE,KY,SOUTH,-5,-4,12,1
33175,AT&T,UVERSE,CA,WEST,-8,-7,45,6
132350,AT&T,REMOVE,GA,SOUTH,-5,-4,REMOVE,REMOVE
164264,AT&T,UVERSE,NC,SOUTH,-5,-4,18,1.5
184434,AT&T,UVERSE,MO,MIDWEST,-6,-5,12,1.5
184442,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
193026,AT&T,UVERSE,MI,MIDWEST,-5,-4,6,0.768
194618,AT&T,UVERSE,FL,SOUTH,-5,-4,18,1.5
207314,AT&T,UVERSE,MI,MIDWEST,-5,-5,6,1
207336,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
207610,AT&T,UVERSE,IL,MIDWEST,-6,-5,24,3
210402,AT&T,UVERSE,CA,WEST,-8,-7,12,1
210406,AT&T,UVERSE,IL,MIDWEST,-6,-5,12,1.5
210450,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
211518,AT&T,UVERSE,MI,MIDWEST,-5,-5,12,1.5
213386,AT&T,UVERSE,GA,SOUTH,-5,-4,18,1.5
213432,AT&T,REMOVE,KY,SOUTH,-5,-4,REMOVE,REMOVE
214070,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
214430,AT&T,UVERSE,SC,SOUTH,-5,-5,3,1
214450,AT&T,REMOVE,FL,SOUTH,-5,-4,REMOVE,REMOVE
214490,AT&T,UVERSE,OH,MIDWEST,-5,-5,6,1
214604,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
