Unit ID,ISP,STATUS,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION,Technology
882,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
10326,AT&T,VALID DATA,6,0.768,-8,-7,NV,WEST,DSL
7275,AT&T,VALID DATA,6,0.768,-6,-5,AR,SOUTH,DSL
7096,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
11362,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
213452,AT&T,VALID DATA,6,0.512,-5,-4,IN,MIDWEST,DSL
1265,AT&T,VALID DATA,6,0.768,-6,-5,IN,MIDWEST,DSL
7340,AT&T,VALID DATA,6,0.768,-6,-5,WI,MIDWEST,DSL
8066,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
12463,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
11892,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
9769,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
13213,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
7905,AT&T,VALID DATA,6,0.768,-5,-4,MI,MIDWEST,DSL
10310,AT&T,VALID DATA,6,0.768,-6,-5,AR,SOUTH,DSL
6404,AT&T,VALID DATA,6,0.768,-6,-5,AR,SOUTH,DSL
8545,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
8389,AT&T,VALID DATA,6,0.768,-6,-5,IN,MIDWEST,DSL
10050,AT&T,VALID DATA,6,0.512,-5,-4,SC,SOUTH,DSL
10477,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
26632,AT&T,VALID DATA,6,0.512,-5,-4,SC,SOUTH,DSL
5963,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
9000,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
8233,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
11037,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
6453,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
5304,AT&T,VALID DATA,6,0.512,-5,-4,SC,SOUTH,DSL
28221,AT&T,VALID DATA,6,0.512,-5,-4,NC,SOUTH,DSL
27579,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
207314,AT&T,VALID DATA,6,0.768,-5,-5,MI,MIDWEST,DSL
14419,AT&T,VALID DATA,6,0.512,-5,-4,OH,MIDWEST,DSL
26440,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
232466,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
216656,AT&T,VALID DATA,6,0.512,-8,-7,CA,WEST,DSL
28901,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
9953,AT&T,VALID DATA,6,0.512,-6,-5,MS,SOUTH,DSL
27580,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
13091,AT&T,VALID DATA,6,0.512,-5,-4,KY,SOUTH,DSL
26443,AT&T,VALID DATA,6,0.512,-6,-5,FL,SOUTH,DSL
27659,AT&T,VALID DATA,6,1,-5,-4,MI,MIDWEST,DSL
7573,AT&T,VALID DATA,6,0.512,-5,-4,SC,SOUTH,DSL
1270,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
14740,AT&T,VALID DATA,6,0.768,-6,-5,KS,MIDWEST,DSL
26435,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
8243,AT&T,VALID DATA,6,0.768,-6,-5,OK,SOUTH,DSL
26633,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
214442,AT&T,VALID DATA,6,0.512,-5,-5,GA,SOUTH,DSL
7954,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
6854,AT&T,VALID DATA,6,0.768,-5,-4,SC,SOUTH,DSL
6340,AT&T,VALID DATA,6,0.512,-5,-4,SC,SOUTH,DSL
6489,AT&T,VALID DATA,6,0.512,-6,-5,TN,SOUTH,DSL
244900,AT&T,VALID DATA,6,0.512,-5,-5,FL,SOUTH,DSL
6642,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
7725,AT&T,VALID DATA,6,0.768,-5,-4,KY,SOUTH,DSL
8142,AT&T,VALID DATA,6,0.512,-5,-4,NC,SOUTH,DSL
11524,AT&T,VALID DATA,6,0.512,-5,-4,NC,SOUTH,DSL
5272,AT&T,VALID DATA,6,0.512,-6,-5,AL,SOUTH,DSL
26689,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
7649,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
838,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
214450,AT&T,VALID DATA,6,0.512,-5,-4,FL,SOUTH,DSL
5596,AT&T,VALID DATA,6,0.512,-6,-5,TN,SOUTH,DSL
7063,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
10697,AT&T,VALID DATA,6,0.512,-5,-4,GA,SOUTH,DSL
7963,AT&T,VALID DATA,6,0.512,-5,-4,NC,SOUTH,DSL
9478,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
27736,AT&T,VALID DATA,6,1,-7,-7,WI,MIDWEST,DSL
27575,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
10729,AT&T,VALID DATA,6,0.768,-6,-5,IN,MIDWEST,DSL
12514,AT&T,VALID DATA,6,1,-8,-7,CA,WEST,DSL
6660,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
217190,AT&T,VALID DATA,6,0.768,-5,-5,IN,MIDWEST,DSL
8241,AT&T,VALID DATA,6,0.768,-5,-4,GA,SOUTH,DSL
11093,AT&T,VALID DATA,6,1,-6,-5,WI,MIDWEST,DSL
5655,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
26944,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
9915,AT&T,VALID DATA,6,1,-5,-4,FL,SOUTH,DSL
10799,AT&T,VALID DATA,6,1,-5,-4,SC,SOUTH,DSL
210432,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
7155,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
33173,AT&T,VALID DATA,6,1,-5,-4,OH,MIDWEST,DSL
27038,AT&T,VALID DATA,6,1,-8,-7,CA,WEST,DSL
9646,AT&T,VALID DATA,6,1,-6,-5,TX,SOUTH,DSL
211518,AT&T,VALID DATA,6,0.768,-5,-5,MI,MIDWEST,DSL
213666,AT&T,VALID DATA,6,0.512,-6,-5,CT,NORTHEAST,DSL
6101,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
1040,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
8856,AT&T,VALID DATA,6,0.512,-6,-5,IL,MIDWEST,DSL
11353,AT&T,VALID DATA,6,0.768,-5,-4,PA,NORTHEAST,DSL
11902,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
7545,AT&T,VALID DATA,6,0.768,-6,-5,WI,MIDWEST,DSL
368,AT&T,VALID DATA,6,0.768,-6,-5,#N/A,#N/A,DSL
6305,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
13008,AT&T,VALID DATA,6,0.768,-8,-7,CA,WEST,DSL
6139,AT&T,VALID DATA,6,0.768,-6,-5,WI,MIDWEST,DSL
8355,AT&T,VALID DATA,6,0.768,-5,-4,MI,MIDWEST,DSL
8483,AT&T,VALID DATA,6,0.768,-5,-4,OH,MIDWEST,DSL
8969,AT&T,VALID DATA,6,0.768,-6,-5,MO,MIDWEST,DSL
5560,AT&T,VALID DATA,6,0.768,-6,-5,TX,SOUTH,DSL
12034,AT&T,VALID DATA,6,1,-5,-4,OH,MIDWEST,DSL
27046,AT&T,VALID DATA,6,1,-8,-7,CA,WEST,DSL
215720,AT&T,VALID DATA,6,0.768,-6,-5,TN,SOUTH,DSL
215698,AT&T,VALID DATA,6,1,-8,-7,CA,WEST,DSL
10775,AT&T,VALID DATA,6,0.768,-6,-5,IL,MIDWEST,DSL
7714,AT&T,VALID DATA,12,1,-6,-5,LA,SOUTH,DSL
9858,AT&T,VALID DATA,12,1.5,-8,-7,CA,WEST,DSL
213320,AT&T,VALID DATA,12,1,-6,-5,CT,NORTHEAST,DSL
5679,AT&T,VALID DATA,12,1.5,-6,-5,TX,SOUTH,DSL
9046,AT&T,VALID DATA,12,1,-6,-5,TX,SOUTH,DSL
7632,AT&T,VALID DATA,12,1,-6,-5,MS,SOUTH,DSL
214612,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
10793,AT&T,VALID DATA,12,1,-6,-5,IN,MIDWEST,DSL
10610,AT&T,VALID DATA,12,1,-6,-5,WI,MIDWEST,DSL
13470,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
216078,AT&T,VALID DATA,12,1,-5,-4,OH,MIDWEST,DSL
6090,AT&T,VALID DATA,12,1,-6,-5,IL,MIDWEST,DSL
27174,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
9162,AT&T,VALID DATA,12,1,-6,-5,WI,MIDWEST,DSL
7669,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
27698,AT&T,VALID DATA,12,1,-6,-5,TX,SOUTH,DSL
5616,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
28723,AT&T,VALID DATA,12,1,-6,-5,IN,MIDWEST,DSL
7352,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
8072,AT&T,VALID DATA,12,1.5,-5,-4,#N/A,#N/A,DSL
1083,AT&T,VALID DATA,12,1,-6,-5,TX,SOUTH,DSL
27814,AT&T,VALID DATA,12,1.5,-5,-4,MI,MIDWEST,DSL
5945,AT&T,VALID DATA,12,1,-6,-5,IN,MIDWEST,DSL
32506,AT&T,VALID DATA,12,1.5,-6,-5,CA,WEST,DSL
5757,AT&T,VALID DATA,12,1.5,-8,-7,CA,WEST,DSL
988,AT&T,VALID DATA,12,1.5,-5,-4,NC,SOUTH,DSL
661,AT&T,VALID DATA,12,1,-5,-4,MI,MIDWEST,DSL
9696,AT&T,VALID DATA,12,1.5,-6,-5,TX,SOUTH,DSL
5663,AT&T,VALID DATA,12,1.5,-8,-7,CA,WEST,DSL
217184,AT&T,VALID DATA,12,1,-5,-5,SC,SOUTH,DSL
