Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
3708581,Frontier,Fiber,CA,West,-5,-4,50,50,50,50,SK Whitebox 8.0
3708585,Frontier,Fiber,TX,South,-5,-4,50,50,50,50,SK Whitebox 8.0
3708593,Frontier,Fiber,TX,South,-5,-4,50,50,50,50,SK Whitebox 8.0
3708597,Frontier,Fiber,FL,South,-5,-4,150,150,150,150,SK Whitebox 8.0
3708601,Frontier,DSL,WI,Midwest,-5,-4,3,3,3,0.768,SK Whitebox 8.0
3708609,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3708617,Frontier,Fiber,FL,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3708637,Frontier,DSL,CT,Northeast,-5,-4,12,12,12,1.5,SK Whitebox 8.0
3708645,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3708649,Frontier,DSL,CA,West,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3708653,Frontier,DSL,WV,South,-5,-4,12,12,12,1,SK Whitebox 8.0
3708657,Frontier,Fiber,OR,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3708661,Frontier,DSL,TX,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3708665,Frontier,Fiber,WA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3708673,Frontier,Fiber,CA,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3708677,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3708681,Frontier,Fiber,TX,South,-5,-4,150,150,150,150,SK Whitebox 8.0
3708685,Frontier,Fiber,WA,West,-5,-4,50,50,50,50,SK Whitebox 8.0
3708693,Frontier,Fiber,CA,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3708701,Frontier,Fiber,OR,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3708705,Frontier,Fiber,FL,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3708717,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3708721,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3708725,Frontier,Fiber,WA,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3708737,Frontier,Fiber,WA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
